Zaman (sn),Voltaj (V),Label
38.1524,1.6601,1
38.1524,1.6657,1
38.1524,1.6657,1
38.1524,1.6633,1
38.1524,1.6593,1
38.1524,1.6552,1
38.1524,1.6480,1
38.1525,1.6440,1
38.1525,1.6391,1
38.1525,1.6399,1
38.1525,1.6488,1
38.1525,1.6432,1
38.1525,1.6432,1
38.1526,1.6448,1
38.1526,1.6456,1
38.1526,1.6440,1
38.1526,1.6520,1
38.1526,1.6536,1
38.1526,1.6568,1
38.1527,1.6593,1
38.1527,1.6496,1
38.1527,1.6512,1
38.1527,1.6528,1
38.1527,1.6504,1
38.1527,1.6552,1
38.1528,1.6552,1
38.1528,1.6512,1
38.1528,1.6496,1
38.1528,1.6464,1
38.1528,1.6432,1
38.1528,1.6415,1
38.1528,1.6391,1
38.1529,1.6383,1
38.1529,1.6407,1
38.1529,1.6407,1
38.1529,1.6391,1
38.1529,1.6432,1
38.1529,1.6552,1
38.1530,1.6593,1
38.1530,1.6577,1
38.1530,1.6617,1
38.1530,1.6633,1
38.1530,1.6625,1
38.1530,1.6601,1
38.1531,1.6552,1
38.1531,1.6544,1
38.1531,1.6480,1
38.1531,1.6359,1
38.1531,1.6319,1
38.1531,1.6383,1
38.1532,1.6375,1
38.1532,1.6367,1
38.1532,1.6375,1
38.1532,1.6399,1
38.1532,1.6440,1
38.1532,1.6480,1
38.1532,1.6512,1
38.1533,1.6560,1
38.1533,1.6585,1
38.1533,1.6568,1
38.1533,1.6585,1
38.1533,1.6641,1
38.1533,1.6649,1
38.1534,1.6649,1
38.1534,1.6625,1
38.1534,1.6601,1
38.1534,1.6577,1
38.1534,1.6528,1
38.1534,1.6504,1
38.1534,1.6464,1
38.1535,1.6440,1
38.1535,1.6367,1
38.1535,1.6359,1
38.1535,1.6367,1
38.1535,1.6399,1
38.1535,1.6448,1
38.1536,1.6496,1
38.1536,1.6689,1
38.1536,1.6722,1
38.1536,1.6778,1
38.1536,1.6770,1
38.1536,1.6754,1
38.1537,1.6746,1
38.1537,1.6722,1
38.1537,1.6673,1
38.1537,1.6617,1
38.1537,1.6544,1
38.1537,1.6367,1
38.2096,1.6327,1
38.2096,1.6311,1
38.2096,1.6335,1
38.2096,1.6375,1
38.2097,1.6399,1
38.2097,1.6423,1
38.2097,1.6464,1
38.2097,1.6504,1
38.2097,1.6568,1
38.2097,1.6577,1
38.2098,1.6617,1
38.2098,1.6343,1
38.2098,1.6367,1
38.2098,1.6391,1
38.2098,1.6407,1
38.2098,1.6415,1
38.2098,1.6415,1
38.2099,1.6407,1
38.2099,1.6375,1
38.2099,1.6343,1
38.2099,1.6286,1
38.2099,1.6520,1
38.2099,1.6456,1
38.2100,1.6399,1
38.2100,1.6359,1
38.2100,1.6319,1
38.2100,1.6311,1
38.2100,1.6311,1
38.2100,1.6351,1
38.2101,1.6383,1
38.2101,1.6440,1
38.2101,1.6480,1
38.2101,1.6520,1
38.2101,1.6560,1
38.2101,1.6560,1
38.2102,1.6552,1
38.2102,1.6528,1
38.2102,1.6488,1
38.2102,1.6440,1
38.2102,1.6415,1
38.2102,1.6383,1
38.2102,1.6367,1
38.2103,1.6359,1
38.2103,1.6343,1
38.2103,1.6367,1
38.2103,1.6407,1
38.2103,1.6456,1
38.2103,1.6496,1
38.2104,1.6544,1
38.2104,1.6593,1
38.2104,1.6633,1
38.2104,1.6665,1
38.2104,1.6689,1
38.2104,1.6689,1
38.2104,1.6689,1
38.2105,1.6681,1
38.2105,1.6665,1
38.2105,1.6641,1
38.2105,1.6593,1
38.2105,1.6552,1
38.2106,1.6504,1
38.2106,1.6456,1
38.2106,1.6407,1
38.2106,1.6375,1
38.2106,1.6367,1
38.2107,1.6359,1
38.2107,1.6375,1
38.2107,1.6415,1
38.2107,1.6456,1
38.2107,1.6512,1
38.2107,1.6560,1
38.2108,1.6609,1
38.2108,1.6641,1
38.2108,1.6665,1
38.2108,1.6665,1
38.2108,1.6641,1
38.2108,1.6601,1
38.2108,1.6552,1
38.2109,1.6496,1
38.2109,1.6440,1
38.2109,1.6391,1
38.2109,1.6359,1
38.2109,1.6351,1
38.2109,1.6343,1
38.2110,1.6351,1
38.2110,1.6375,1
38.2110,1.6415,1
38.2110,1.6440,1
38.2110,1.6480,1
38.2110,1.6512,1
38.2111,1.6536,1
38.2111,1.6560,1
38.2111,1.6568,1
38.2111,1.6577,1
38.2111,1.6585,1
38.2111,1.6585,1
38.2112,1.6568,1
38.2112,1.6560,1
38.2112,1.6536,1
38.2112,1.6512,1
38.2112,1.6472,1
38.2112,1.6432,1
38.2113,1.6391,1
38.2113,1.6359,1
38.2113,1.6327,1
38.2113,1.6327,1
38.2113,1.6343,1
38.2113,1.6367,1
38.2113,1.6407,1
38.2114,1.6456,1
38.2114,1.6512,1
38.2114,1.6560,1
38.2114,1.6609,1
38.2114,1.6633,1
38.2114,1.6649,1
38.2676,1.6625,1
38.2676,1.6593,1
38.2677,1.6528,1
38.2677,1.6472,1
38.2677,1.6423,1
38.2677,1.6383,1
38.2677,1.6351,1
38.2677,1.6327,1
38.2678,1.6327,1
38.2678,1.6335,1
38.2678,1.6375,1
38.2678,1.6399,1
38.2678,1.6456,1
38.2678,1.6496,1
38.2678,1.6536,1
38.2679,1.6568,1
38.2679,1.6601,1
38.2679,1.6593,1
38.2679,1.6609,1
38.2679,1.6609,1
38.2679,1.6593,1
38.2680,1.6593,1
38.2680,1.6577,1
38.2680,1.6544,1
38.2680,1.6512,1
38.2680,1.6464,1
38.2680,1.6432,1
38.2680,1.6423,1
38.2681,1.6391,1
38.2681,1.6383,1
38.2681,1.6391,1
38.2681,1.6399,1
38.2681,1.6440,1
38.2681,1.6480,1
38.2682,1.6528,1
38.2682,1.6601,1
38.2682,1.6633,1
38.2682,1.6665,1
38.2682,1.6689,1
38.2682,1.6681,1
38.2683,1.6673,1
38.2683,1.6625,1
38.2683,1.6577,1
38.2683,1.6520,1
38.2683,1.6472,1
38.2683,1.6415,1
38.2683,1.6383,1
38.2684,1.6367,1
38.2684,1.6367,1
38.2684,1.6399,1
38.2684,1.6407,1
38.2684,1.6448,1
38.2684,1.6488,1
38.2685,1.6520,1
38.2685,1.6544,1
38.2685,1.6585,1
38.2685,1.6609,1
38.2685,1.6617,1
38.2685,1.6617,1
38.2685,1.6609,1
38.2686,1.6609,1
