Zaman (sn),Voltaj (V),Label
1.4079,1.6246,1
1.4079,1.6335,1
1.4079,1.6472,1
1.4107,1.6633,1
1.4107,1.6730,1
1.4107,1.6851,1
1.4107,1.6867,1
1.4108,1.6915,1
1.4108,1.6891,1
1.4138,1.6867,1
1.4138,1.6802,1
1.4138,1.6746,1
1.4138,1.6609,1
1.4139,1.6560,1
1.4139,1.6399,1
1.4181,1.6319,1
1.4182,1.6246,1
1.4182,1.6174,1
1.4182,1.6158,1
1.4182,1.6190,1
1.4183,1.6278,1
1.4183,1.6351,1
1.4183,1.6488,1
1.4183,1.6633,1
1.4213,1.6722,1
1.4213,1.6794,1
1.4213,1.6891,1
1.4214,1.6915,1
1.4214,1.6939,1
1.4214,1.6907,1
1.4242,1.6842,1
1.4242,1.6770,1
1.4242,1.6697,1
1.4242,1.6552,1
1.4242,1.6456,1
1.4243,1.6327,1
1.4272,1.6230,1
1.4272,1.6101,1
1.4273,1.6117,1
1.4273,1.6174,1
1.4273,1.6254,1
1.4304,1.6343,1
1.4304,1.6504,1
1.4304,1.6649,1
1.4305,1.6730,1
1.4305,1.6826,1
1.4305,1.6867,1
1.4305,1.6875,1
1.4348,1.6859,1
1.4348,1.6834,1
1.4348,1.6810,1
1.4348,1.6730,1
1.4349,1.6617,1
1.4349,1.6504,1
1.4349,1.6407,1
1.4349,1.6303,1
1.4349,1.6198,1
1.4381,1.6149,1
1.4381,1.6141,1
1.4382,1.6158,1
1.4382,1.6270,1
1.4382,1.6335,1
1.4382,1.6456,1
1.4412,1.6568,1
1.4412,1.6673,1
1.4412,1.6762,1
1.4413,1.6851,1
1.4413,1.6875,1
1.4413,1.6875,1
1.4413,1.6859,1
1.4443,1.6794,1
1.4443,1.6714,1
1.4443,1.6641,1
1.4444,1.6552,1
1.4444,1.6432,1
1.4444,1.6327,1
1.4476,1.6182,1
1.4476,1.6085,1
1.4476,1.6101,1
1.4476,1.6125,1
1.4477,1.6230,1
1.4477,1.6343,1
1.4519,1.6488,1
1.4519,1.6625,1
1.4519,1.6738,1
1.4519,1.6834,1
1.4519,1.6859,1
1.4519,1.6883,1
1.4520,1.6899,1
1.4520,1.6875,1
1.4520,1.6810,1
1.4554,1.6754,1
1.4554,1.6609,1
1.4554,1.6528,1
1.4554,1.6407,1
1.4555,1.6351,1
1.4555,1.6262,1
1.4555,1.6222,1
1.4585,1.6198,1
1.4586,1.6206,1
1.4586,1.6262,1
1.4586,1.6351,1
1.4586,1.6456,1
1.4586,1.6601,1
1.4616,1.6697,1
1.4617,1.6794,1
1.4617,1.6867,1
1.4617,1.6891,1
1.4617,1.6875,1
1.4617,1.6883,1
1.4649,1.6826,1
1.4649,1.6738,1
1.4649,1.6641,1
1.4650,1.6585,1
1.4650,1.6472,1
1.4650,1.6327,1
1.4650,1.6206,1
1.4691,1.6125,1
1.4691,1.6141,1
1.4691,1.6182,1
1.4691,1.6238,1
1.4691,1.6343,1
1.4692,1.6504,1
1.4692,1.6609,1
1.4692,1.6738,1
1.4725,1.6834,1
1.4725,1.6859,1
1.4725,1.7471,1
1.4725,1.6778,1
1.4725,1.6802,1
1.4726,1.6738,1
1.4726,1.6697,1
1.4757,1.6609,1
1.4757,1.6496,1
1.4758,1.6383,1
1.4758,1.6311,1
1.4758,1.6238,1
1.4758,1.6158,1
1.4758,1.6182,1
1.4791,1.6198,1
1.4792,1.6278,1
1.4792,1.6351,1
1.4792,1.6480,1
1.4792,1.6633,1
1.4792,1.6730,1
1.4793,1.6834,1
1.4836,1.6875,1
1.4836,1.6915,1
1.4837,1.6907,1
1.4837,1.6883,1
1.4837,1.6834,1
1.4837,1.6746,1
1.4837,1.6649,1
1.4838,1.6593,1
1.4838,1.6472,1
1.4870,1.6335,1
1.4870,1.6174,1
1.4870,1.6101,1
1.4871,1.6109,1
1.4871,1.6117,1
1.4871,1.6270,1
1.4902,1.6415,1
1.4902,1.6520,1
1.4902,1.6625,1
1.4902,1.6722,1
1.4902,1.6802,1
1.4902,1.6875,1
1.4934,1.6883,1
1.4934,1.6875,1
1.4935,1.6859,1
1.4935,1.6810,1
1.4935,1.6746,1
1.4935,1.6625,1
1.4935,1.6528,1
1.4969,1.6399,1
1.4969,1.6351,1
1.4969,1.6262,1
1.4969,1.6166,1
1.4970,1.6182,1
1.4970,1.6190,1
1.4970,1.6270,1
1.5010,1.6343,1
1.5011,1.6488,1
1.5011,1.6601,1
1.5011,1.6714,1
1.5011,1.6794,1
1.5011,1.6875,1
1.5011,1.6907,1
1.5012,1.6939,1
1.5044,1.6899,1
1.5044,1.6867,1
1.5045,1.6778,1
1.5045,1.6738,1
1.5045,1.6568,1
1.5045,1.6472,1
1.5045,1.6351,1
1.5076,1.6230,1
1.5076,1.6174,1
1.5076,1.6158,1
1.5077,1.6141,1
1.5077,1.6254,1
1.5077,1.6423,1
1.5109,1.6512,1
1.5109,1.6689,1
1.5109,1.6770,1
1.5109,1.6883,1
1.5109,1.6891,1
1.5109,1.6915,1
1.5110,1.6907,1
1.5144,1.6867,1
1.5144,1.6818,1
1.5145,1.6754,1
1.5145,1.6689,1
1.5145,1.6536,1
1.5145,1.6415,1
1.5145,1.6359,1
1.5189,1.6262,1
1.5189,1.6174,1
1.5189,1.6182,1
1.5189,1.6198,1
1.5190,1.6286,1
1.5190,1.6383,1
1.5190,1.6472,1
1.5190,1.6552,1
1.5190,1.6730,1
1.5223,1.6770,1
1.5223,1.6859,1
1.5223,1.6859,1
1.5224,1.6883,1
1.5224,1.6842,1
1.5224,1.6778,1
1.5224,1.6730,1
1.5256,1.6625,1
1.5257,1.6560,1
1.5257,1.6423,1
1.5257,1.6270,1
1.5257,1.6182,1
1.5257,1.6109,1
1.5292,1.6109,1
1.5292,1.6182,1
1.5292,1.6206,1
1.5292,1.6432,1
1.5293,1.6464,1
1.5293,1.6593,1
